Pi weather station data from codename mulberry, initialised Sun Sep 25 19:26:28 2022
Format YYYY-MM-DDTHH:MM:SS, Temperature [degC], Wind speed [km/h], Rainfall [mm]
Temperature is instantaneous, wind speed is averaged since previous measurement,
rainfall is accumulated since previous measurement.

time,temperature_degC,wind_speed_km/h,rainfall_mm
2022-09-25T19:26:29, 21.5625, 0.0, 0.0
2022-09-25T19:27:30, 21.4375, 0.0, 0.0
2022-09-25T19:28:31, 21.4375, 0.02, 0.28
2022-09-25T19:29:32, 18.75, 0.37, 0.0
2022-09-25T19:30:33, 15.375, 0.87, 0.0
2022-09-25T19:31:34, 13.875, 1.46, 0.0
2022-09-25T19:32:35, 13.0, 2.64, 0.0
2022-09-25T19:33:36, 12.9375, 2.43, 0.0
2022-09-25T19:34:37, 13.1875, 1.22, 0.0
2022-09-25T19:35:38, 13.6875, 1.28, 0.0
2022-09-25T19:36:39, 14.1875, 1.73, 0.0
2022-09-25T19:37:39, 14.5, 3.55, 0.28
2022-09-25T19:38:40, 14.1875, 3.84, 0.28
2022-09-25T19:39:41, 13.5625, 3.66, 4.75
2022-09-25T19:40:42, 13.6875, 3.43, 0.84
2022-09-25T19:41:43, 14.125, 3.05, 0.0
2022-09-25T19:42:44, 14.5625, 4.12, 0.0
2022-09-25T19:43:45, 15.0, 3.25, 0.0
2022-09-25T19:44:46, 15.125, 1.97, 0.0
2022-09-25T19:45:47, 15.3125, 3.65, 0.0
2022-09-25T19:46:48, 15.5625, 3.15, 0.0
2022-09-25T19:47:49, 16.625, 1.34, 0.0
2022-09-25T19:48:50, 15.75, 3.17, 0.0
2022-09-25T19:49:51, 15.9375, 1.89, 0.0
2022-09-25T19:50:52, 15.5625, 3.16, 0.0
2022-09-25T19:51:53, 15.8125, 2.64, 0.0
2022-09-25T19:52:54, 15.3125, 4.47, 0.0
2022-09-25T19:53:54, 15.625, 2.76, 0.0
2022-09-25T19:54:55, 15.625, 3.13, 0.0
2022-09-25T19:55:56, 15.25, 4.14, 0.0
2022-09-25T19:56:57, 15.8125, 2.23, 0.0
2022-09-25T19:57:58, 15.75, 3.05, 0.0
2022-09-25T19:58:59, 15.9375, 2.19, 0.0
2022-09-25T20:00:00, 15.1875, 5.44, 0.0
2022-09-25T20:01:01, 14.6875, 6.5, 0.0
2022-09-25T20:02:02, 15.3125, 3.77, 0.0
2022-09-25T20:03:03, 15.75, 2.23, 0.0
2022-09-25T20:04:04, 15.625, 1.89, 0.0
2022-09-25T20:05:05, 15.125, 2.9, 0.0
2022-09-25T20:06:06, 15.125, 3.53, 0.0
2022-09-25T20:07:06, 15.6875, 3.02, 0.0
2022-09-25T20:08:07, 14.75, 4.18, 0.0
2022-09-25T20:09:08, 13.8125, 5.75, 0.0
2022-09-25T20:10:09, 13.4375, 4.75, 0.0
2022-09-25T20:11:10, 13.375, 3.74, 0.0
2022-09-25T20:12:11, 14.0625, 3.98, 0.0
2022-09-25T20:13:12, 15.0625, 3.35, 0.0
2022-09-25T20:14:13, 14.8125, 3.98, 0.0
2022-09-25T20:15:14, 15.0, 2.41, 0.0
2022-09-25T20:16:15, 14.5, 3.85, 0.0
2022-09-25T20:17:16, 13.75, 5.69, 0.0
2022-09-25T20:18:17, 14.0, 4.23, 0.0
2022-09-25T20:19:18, 14.1875, 4.85, 0.0
2022-09-25T20:20:19, 14.125, 4.36, 0.0
2022-09-25T20:21:20, 13.9375, 4.67, 0.0
2022-09-25T20:22:21, 13.8125, 5.5, 0.0
2022-09-25T20:23:21, 14.9375, 3.67, 0.0
2022-09-25T20:24:22, 14.3125, 5.2, 0.0
2022-09-25T20:25:23, 14.4375, 4.59, 0.0
2022-09-25T20:26:24, 14.75, 3.71, 0.0
2022-09-25T20:27:25, 14.4375, 3.05, 0.0
2022-09-25T20:28:26, 14.5, 2.98, 0.0
2022-09-25T20:29:27, 14.0, 4.37, 0.0
2022-09-25T20:30:28, 14.6875, 1.81, 0.0
2022-09-25T20:31:29, 13.9375, 4.93, 0.0
2022-09-25T20:32:30, 13.5625, 4.22, 0.0
2022-09-25T20:33:31, 13.4375, 3.61, 0.0
2022-09-25T20:34:32, 13.375, 3.86, 0.0
2022-09-25T20:35:33, 13.1875, 5.58, 0.0
2022-09-25T20:36:34, 13.25, 3.41, 0.0
2022-09-25T20:37:35, 13.125, 4.71, 0.0
2022-09-25T20:38:36, 13.1875, 3.88, 0.0
2022-09-25T20:39:37, 13.0, 5.71, 0.0
2022-09-25T20:40:37, 13.3125, 2.76, 0.0
2022-09-25T20:41:38, 13.375, 3.47, 0.0
2022-09-25T20:42:39, 13.1875, 3.14, 0.0
2022-09-25T20:43:40, 13.0, 3.02, 0.0
2022-09-25T20:44:41, 12.9375, 3.53, 0.0
2022-09-25T20:45:42, 12.9375, 2.72, 0.0
2022-09-25T20:46:43, 13.1875, 3.67, 0.0
2022-09-25T20:47:44, 13.1875, 3.69, 0.0
2022-09-25T20:48:45, 13.125, 3.11, 0.0
2022-09-25T20:49:46, 13.0, 4.04, 0.0
2022-09-25T20:50:47, 13.0, 4.08, 0.0
2022-09-25T20:51:48, 13.0625, 5.58, 0.0
2022-09-25T20:52:48, 13.125, 3.12, 0.0
2022-09-25T20:53:49, 12.9375, 1.91, 0.0
2022-09-25T20:54:50, 12.6875, 5.89, 0.0
2022-09-25T20:55:51, 12.6875, 4.61, 0.0
2022-09-25T20:56:52, 12.6875, 4.24, 0.0
2022-09-25T20:57:53, 12.625, 4.1, 0.0
2022-09-25T20:58:54, 12.625, 3.25, 0.0
2022-09-25T20:59:55, 12.6875, 3.23, 0.0
2022-09-25T21:00:56, 12.6875, 2.42, 0.0
2022-09-25T21:01:57, 12.4375, 5.32, 0.0
2022-09-25T21:02:58, 12.4375, 3.78, 0.0
2022-09-25T21:03:59, 12.375, 3.51, 0.0
2022-09-25T21:05:00, 12.3125, 3.1, 0.0
2022-09-25T21:06:01, 12.25, 2.86, 0.0
2022-09-25T21:07:02, 12.25, 3.53, 0.0
2022-09-25T21:08:03, 12.1875, 3.17, 0.0
2022-09-25T21:09:03, 12.1875, 4.38, 0.0
2022-09-25T21:10:04, 12.1875, 2.6, 0.0
2022-09-25T21:11:05, 12.1875, 3.63, 0.0
2022-09-25T21:12:06, 12.1875, 3.96, 0.0
2022-09-25T21:13:07, 12.25, 3.17, 0.0
2022-09-25T21:14:08, 12.3125, 2.15, 0.0
2022-09-25T21:15:09, 12.25, 5.9, 0.0
2022-09-25T21:16:10, 12.25, 5.97, 0.0
2022-09-25T21:17:11, 12.25, 3.45, 0.0
2022-09-25T21:18:12, 12.3125, 2.05, 0.0
2022-09-25T21:19:13, 12.3125, 3.51, 0.0
2022-09-25T21:20:14, 12.1875, 4.08, 0.0
2022-09-25T21:21:15, 12.125, 2.36, 0.0
2022-09-25T21:22:16, 12.0625, 5.2, 0.0
2022-09-25T21:23:16, 11.9375, 3.57, 0.0
2022-09-25T21:24:17, 11.875, 3.35, 0.0
2022-09-25T21:25:18, 11.875, 3.86, 0.0
2022-09-25T21:26:19, 11.8125, 3.88, 0.0
2022-09-25T21:27:20, 11.8125, 3.47, 0.0
2022-09-25T21:28:21, 11.75, 3.57, 0.0
2022-09-25T21:29:22, 11.75, 2.35, 0.0
