Pi weather station data from codename strawberry, initialised Sun Sep 25 19:28:38 2022
Format YYYY-MM-DDTHH:MM:SS, Temperature [degC], Wind speed [km/h], Rainfall [mm]
Temperature is instantaneous, wind speed is averaged since previous measurement,
rainfall is accumulated since previous measurement.

time,temperature_degC,wind_speed_km/h,rainfall_mm
2022-09-25T19:28:39, 0.0, 0.0, 0.0
2022-09-25T19:33:39, 0.0, 0.01, 0.0
2022-09-25T19:38:39, 0.0, 0.02, 0.0
2022-09-25T19:43:39, 0.0, 0.17, 1.4
2022-09-25T19:48:39, 0.0, 0.04, 0.0
2022-09-25T19:53:39, 0.0, 0.04, 0.0
2022-09-25T19:58:39, 0.0, 0.12, 0.0
2022-09-25T20:03:39, 0.0, 0.43, 0.28
2022-09-25T20:08:39, 0.0, 0.92, 0.84
2022-09-25T20:13:39, 0.0, 0.62, 0.0
2022-09-25T20:18:39, 0.0, 0.74, 0.0
2022-09-25T20:23:39, 0.0, 1.02, 0.0
2022-09-25T20:28:39, 0.0, 1.02, 0.0
2022-09-25T20:33:39, 0.0, 1.04, 0.0
2022-09-25T20:38:39, 0.0, 1.02, 0.0
2022-09-25T20:43:39, 0.0, 0.34, 0.0
2022-09-25T20:48:40, 0.0, 0.45, 0.0
2022-09-25T20:53:40, 0.0, 0.51, 0.0
2022-09-25T20:58:40, 0.0, 0.52, 0.0
2022-09-25T21:03:40, 0.0, 0.63, 0.0
2022-09-25T21:08:40, 0.0, 0.53, 0.0
2022-09-25T21:13:40, 0.0, 0.26, 0.0
2022-09-25T21:18:40, 0.0, 0.51, 0.0
2022-09-25T21:23:40, 0.0, 0.5, 0.0
2022-09-25T21:28:40, 0.0, 0.58, 0.0
2022-09-25T21:33:40, 0.0, 0.34, 0.0
2022-09-25T21:38:40, 0.0, 0.43, 0.0
2022-09-25T21:43:40, 0.0, 0.37, 0.0
2022-09-25T21:48:40, 0.0, 0.58, 0.0
2022-09-25T21:53:40, 0.0, 0.36, 0.0
2022-09-25T21:58:41, 0.0, 0.25, 0.0
2022-09-25T22:03:41, 0.0, 0.16, 0.0
2022-09-25T22:08:41, 0.0, 0.44, 0.0
2022-09-25T22:13:41, 0.0, 0.47, 0.0
2022-09-25T22:18:41, 0.0, 0.5, 0.0
2022-09-25T22:23:41, 0.0, 0.54, 0.0
2022-09-25T22:28:41, 0.0, 0.05, 0.0
2022-09-25T22:33:41, 0.0, 0.22, 0.0
2022-09-25T22:38:41, 0.0, 0.16, 0.0
2022-09-25T22:43:41, 0.0, 0.52, 0.0
2022-09-25T22:48:41, 0.0, 0.55, 0.0
2022-09-25T22:53:41, 0.0, 0.38, 0.0
2022-09-25T22:58:41, 0.0, 0.82, 0.0
2022-09-25T23:03:41, 0.0, 1.03, 0.0
2022-09-25T23:08:42, 0.0, 0.76, 0.0
2022-09-25T23:13:42, 0.0, 0.46, 0.0
2022-09-25T23:18:42, 0.0, 0.81, 0.0
2022-09-25T23:23:42, 0.0, 0.53, 0.0
2022-09-25T23:28:42, 0.0, 0.94, 0.0
2022-09-25T23:33:42, 0.0, 0.16, 0.0
2022-09-25T23:38:42, 0.0, 0.06, 0.0
2022-09-25T23:43:42, 0.0, 0.02, 0.0
2022-09-25T23:48:42, 0.0, 0.08, 0.0
2022-09-25T23:53:42, 0.0, 0.0, 0.0
2022-09-25T23:58:42, 0.0, 0.03, 0.0
2022-09-26T00:03:42, 0.0, 0.0, 0.0
2022-09-26T00:08:42, 0.0, 0.04, 0.0
2022-09-26T00:13:43, 0.0, 0.03, 0.0
2022-09-26T00:18:43, 0.0, 0.07, 0.0
2022-09-26T00:23:43, 0.0, 0.0, 0.0
2022-09-26T00:28:43, 0.0, 0.0, 0.0
2022-09-26T00:33:43, 0.0, 0.0, 0.0
2022-09-26T00:38:43, 0.0, 0.0, 0.0
2022-09-26T00:43:43, 0.0, 0.01, 0.0
2022-09-26T00:48:43, 0.0, 0.0, 0.0
2022-09-26T00:53:43, 0.0, 0.01, 0.0
2022-09-26T00:58:43, 0.0, 0.0, 0.0
2022-09-26T01:03:43, 0.0, 0.06, 0.0
2022-09-26T01:08:43, 0.0, 0.06, 0.0
2022-09-26T01:13:43, 0.0, 0.0, 0.0
2022-09-26T01:18:43, 0.0, 0.01, 0.0
2022-09-26T01:23:43, 0.0, 0.2, 0.0
2022-09-26T01:28:44, 0.0, 0.22, 0.0
2022-09-26T01:33:44, 0.0, 0.11, 0.0
2022-09-26T01:38:44, 0.0, 0.0, 0.0
2022-09-26T01:43:44, 0.0, 0.01, 0.0
2022-09-26T01:48:44, 0.0, 0.32, 0.0
2022-09-26T01:53:44, 0.0, 0.0, 0.0
2022-09-26T01:58:44, 0.0, 0.02, 0.0
2022-09-26T02:03:44, 0.0, 0.0, 0.0
2022-09-26T02:08:44, 0.0, 0.02, 0.0
2022-09-26T02:13:44, 0.0, 0.06, 0.0
2022-09-26T02:18:44, 0.0, 0.04, 0.0
2022-09-26T02:23:44, 0.0, 0.0, 0.0
2022-09-26T02:28:44, 0.0, 0.0, 0.0
2022-09-26T02:33:44, 0.0, 0.0, 0.0
2022-09-26T02:38:44, 0.0, 0.01, 0.0
2022-09-26T02:43:44, 0.0, 0.0, 0.0
2022-09-26T02:48:44, 0.0, 0.0, 0.0
2022-09-26T02:53:45, 0.0, 0.0, 0.0
2022-09-26T02:58:45, 0.0, 0.04, 0.0
2022-09-26T03:03:45, 0.0, 0.03, 0.0
2022-09-26T03:08:45, 0.0, 0.17, 0.0
2022-09-26T03:13:45, 0.0, 0.12, 0.0
2022-09-26T03:18:45, 0.0, 0.1, 0.0
2022-09-26T03:23:45, 0.0, 0.25, 0.0
2022-09-26T03:28:45, 0.0, 0.15, 0.0
2022-09-26T03:33:45, 0.0, 0.06, 0.0
2022-09-26T03:38:45, 0.0, 0.34, 0.0
2022-09-26T03:43:45, 0.0, 0.18, 0.0
2022-09-26T03:48:45, 0.0, 0.07, 0.0
2022-09-26T03:53:45, 0.0, 0.13, 0.0
2022-09-26T03:58:45, 0.0, 0.46, 0.0
2022-09-26T04:03:45, 0.0, 0.33, 0.0
2022-09-26T04:08:46, 0.0, 0.03, 0.0
2022-09-26T04:13:46, 0.0, 0.14, 0.0
2022-09-26T04:18:46, 0.0, 0.15, 0.0
2022-09-26T04:23:46, 0.0, 0.14, 0.0
2022-09-26T04:28:46, 0.0, 0.06, 0.0
2022-09-26T04:33:46, 0.0, 0.04, 0.0
2022-09-26T04:38:46, 0.0, 0.04, 0.0
2022-09-26T04:43:46, 0.0, 0.0, 0.0
2022-09-26T04:48:46, 0.0, 0.0, 0.0
2022-09-26T04:53:46, 0.0, 0.0, 0.0
2022-09-26T04:58:46, 0.0, 0.01, 0.0
2022-09-26T05:03:46, 0.0, 0.0, 0.0
2022-09-26T05:08:46, 0.0, 0.01, 0.0
2022-09-26T05:13:46, 0.0, 0.0, 0.0
2022-09-26T05:18:46, 0.0, 0.0, 0.0
2022-09-26T05:23:46, 0.0, 0.03, 0.0
2022-09-26T05:28:46, 0.0, 0.01, 0.0
2022-09-26T05:33:47, 0.0, 0.01, 0.0
2022-09-26T05:38:47, 0.0, 0.05, 0.0
2022-09-26T05:43:47, 0.0, 0.07, 0.0
