Pi weather station data from codename summer, initialised Sun Sep 25 21:16:38 2022
Format YYYY-MM-DDTHH:MM:SS, Temperature [degC], Wind speed [km/h], Rainfall [mm]
Temperature is instantaneous, wind speed is averaged since previous measurement,
rainfall is accumulated since previous measurement.

time,temperature_degC,wind_speed_km/h,rainfall_mm
2022-09-25T21:16:39, 22.3125, 0.0, 0.0
2022-09-25T21:17:40, 22.3125, 0.04, 0.28
2022-09-25T21:18:41, 22.3125, 0.0, 0.0
2022-09-25T21:19:42, 22.3125, 0.0, 0.0
2022-09-25T21:20:43, 21.8125, 0.18, 0.84
2022-09-25T21:21:44, 17.125, 1.91, 0.28
2022-09-25T21:22:44, 14.25, 1.91, 0.28
2022-09-25T21:23:45, 13.375, 1.14, 0.84
2022-09-25T21:24:46, 12.875, 1.76, 1.12
2022-09-25T21:25:47, 12.625, 0.53, 0.0
2022-09-25T21:26:48, 12.5625, 0.12, 0.0
2022-09-25T21:27:49, 12.5, 0.89, 0.0
2022-09-25T21:28:50, 13.0625, 2.53, 0.0
2022-09-25T21:29:51, 14.0, 3.31, 0.0
2022-09-25T21:30:51, 14.5, 3.24, 0.0
2022-09-25T21:31:52, 15.0, 2.96, 0.0
2022-09-25T21:32:53, 16.5, 3.61, 1.12
2022-09-25T21:33:54, 20.875, 1.85, 0.0
2022-09-25T21:34:55, 16.125, 3.79, 0.0
2022-09-25T21:35:56, 15.875, 3.02, 1.12
2022-09-25T21:36:57, 15.5625, 3.63, 1.12
2022-09-25T21:37:57, 14.8125, 4.76, 0.0
2022-09-25T21:38:58, 14.25, 6.31, 0.0
2022-09-25T21:39:59, 14.0, 7.2, 0.0
2022-09-25T21:41:00, 13.9375, 6.77, 0.0
2022-09-25T21:42:01, 14.25, 2.92, 3.07
2022-09-25T21:43:02, 13.8125, 3.45, 0.0
2022-09-25T21:44:03, 13.375, 6.95, 0.0
2022-09-25T21:45:03, 13.0625, 5.84, 0.0
2022-09-25T21:46:04, 13.375, 4.08, 0.0
2022-09-25T21:47:05, 13.625, 4.64, 0.0
2022-09-25T21:48:06, 13.6875, 5.76, 0.0
2022-09-25T21:49:07, 14.0, 3.77, 0.0
2022-09-25T21:50:08, 13.8125, 4.03, 0.0
2022-09-25T21:51:09, 14.0625, 4.5, 0.0
2022-09-25T21:52:09, 14.125, 4.56, 0.0
2022-09-25T21:53:10, 14.3125, 3.57, 0.0
2022-09-25T21:54:11, 14.3125, 4.01, 0.0
2022-09-25T21:55:12, 14.0625, 6.21, 0.0
2022-09-25T21:56:13, 14.3125, 3.51, 0.0
2022-09-25T21:57:14, 14.125, 4.94, 0.0
2022-09-25T21:58:15, 14.1875, 4.83, 0.0
2022-09-25T21:59:15, 14.375, 3.35, 0.0
2022-09-25T22:00:16, 14.0625, 5.39, 0.0
2022-09-25T22:01:17, 14.1875, 4.14, 0.0
2022-09-25T22:02:18, 14.25, 3.77, 0.0
2022-09-25T22:03:19, 14.1875, 4.44, 0.0
2022-09-25T22:04:20, 14.0, 5.09, 0.0
2022-09-25T22:05:21, 13.6875, 7.34, 0.0
2022-09-25T22:06:22, 13.625, 7.11, 0.0
2022-09-25T22:07:22, 13.875, 4.0, 0.0
2022-09-25T22:08:23, 13.8125, 5.17, 0.0
2022-09-25T22:09:24, 13.8125, 3.93, 0.0
2022-09-25T22:10:25, 13.5625, 5.33, 0.0
2022-09-25T22:11:26, 13.75, 4.4, 0.0
2022-09-25T22:12:27, 13.75, 4.18, 0.0
2022-09-25T22:13:28, 13.75, 4.62, 0.0
2022-09-25T22:14:28, 13.1875, 6.83, 0.0
2022-09-25T22:15:29, 13.0, 5.96, 0.0
2022-09-25T22:16:30, 13.0, 5.66, 0.0
2022-09-25T22:17:31, 13.3125, 3.71, 0.0
2022-09-25T22:18:32, 13.875, 4.36, 0.0
2022-09-25T22:19:33, 14.0, 5.62, 0.0
2022-09-25T22:20:34, 13.8125, 5.85, 0.0
2022-09-25T22:21:34, 13.5, 6.57, 0.0
2022-09-25T22:22:35, 13.3125, 7.01, 0.0
2022-09-25T22:23:36, 13.5, 5.9, 0.0
2022-09-25T22:24:37, 13.5625, 5.31, 0.0
2022-09-25T22:25:38, 13.625, 4.8, 0.0
2022-09-25T22:26:39, 13.4375, 5.76, 0.0
2022-09-25T22:27:40, 13.375, 5.55, 0.0
2022-09-25T22:28:41, 13.75, 5.19, 0.0
2022-09-25T22:29:41, 13.625, 5.98, 0.0
2022-09-25T22:30:42, 14.0625, 3.98, 0.0
2022-09-25T22:31:43, 14.0, 3.75, 0.0
2022-09-25T22:32:44, 13.875, 3.53, 0.0
2022-09-25T22:33:45, 13.6875, 4.42, 0.0
2022-09-25T22:34:46, 13.75, 3.61, 0.0
2022-09-25T22:35:47, 13.8125, 3.43, 0.0
2022-09-25T22:36:47, 13.5, 5.07, 0.0
2022-09-25T22:37:48, 13.375, 4.42, 0.0
2022-09-25T22:38:49, 13.125, 5.37, 0.0
2022-09-25T22:39:50, 13.0625, 5.48, 0.0
2022-09-25T22:40:51, 13.0625, 5.96, 0.0
2022-09-25T22:41:52, 13.0625, 4.07, 0.0
2022-09-25T22:42:53, 13.0, 5.61, 0.0
2022-09-25T22:43:53, 12.75, 8.64, 0.0
2022-09-25T22:44:54, 12.875, 5.53, 0.0
2022-09-25T22:45:55, 13.125, 3.75, 0.0
2022-09-25T22:46:56, 13.125, 5.33, 0.0
2022-09-25T22:47:57, 13.125, 2.53, 0.0
2022-09-25T22:48:58, 12.6875, 5.6, 0.0
2022-09-25T22:49:59, 12.625, 4.76, 0.0
2022-09-25T22:50:59, 12.6875, 5.64, 0.0
2022-09-25T22:52:00, 12.9375, 5.23, 0.0
2022-09-25T22:53:01, 12.9375, 5.43, 0.0
2022-09-25T22:54:02, 12.9375, 4.34, 0.0
2022-09-25T22:55:03, 12.875, 4.2, 0.0
2022-09-25T22:56:04, 12.8125, 5.03, 0.0
2022-09-25T22:57:05, 12.75, 6.69, 0.0
2022-09-25T22:58:05, 12.75, 4.72, 0.0
2022-09-25T22:59:06, 12.625, 5.37, 0.0
2022-09-25T23:00:07, 12.5625, 6.41, 0.0
2022-09-25T23:01:08, 12.5625, 4.5, 0.0
2022-09-25T23:02:09, 12.625, 2.96, 0.0
2022-09-25T23:03:10, 12.4375, 7.16, 0.0
2022-09-25T23:04:11, 12.5, 3.63, 0.0
2022-09-25T23:05:12, 12.625, 2.92, 0.0
2022-09-25T23:06:12, 12.5625, 3.85, 0.0
2022-09-25T23:07:13, 12.5, 2.98, 0.0
2022-09-25T23:08:14, 12.3125, 5.37, 0.0
2022-09-25T23:09:15, 12.25, 4.85, 0.0
2022-09-25T23:10:16, 12.1875, 4.42, 0.0
2022-09-25T23:11:17, 12.125, 4.78, 0.0
2022-09-25T23:12:18, 12.125, 3.2, 0.0
2022-09-25T23:13:18, 12.0625, 6.1, 0.0
2022-09-25T23:14:19, 12.0, 4.3, 0.0
2022-09-25T23:15:20, 12.0, 6.31, 0.0
2022-09-25T23:16:21, 12.0, 4.22, 0.0
2022-09-25T23:17:22, 12.0625, 2.74, 0.0
2022-09-25T23:18:23, 12.0625, 3.61, 0.0
2022-09-25T23:19:24, 12.125, 3.87, 0.0
