Pi weather station data from codename elderberry, initialised Tue Sep 11 15:44:16 2018
Format YYYY-MM-DDTHH:MM:SS, Temperature [degC], Wind speed [km/h], Rainfall [mm]
Temperature is instantaneous, wind speed is averaged since previous measurement,
rainfall is accumulated since previous measurement.

time,temperature_degC,wind_speed_km/h,rainfall_mm
2018-09-11T15:44:17, 22.062, 0.0, 0.0
2018-09-11T15:44:38, 22.062, 0.0, 0.0
2018-09-11T15:44:59, 22.062, 0.0, 0.0
2018-09-11T15:45:20, 22.062, 0.0, 0.0
2018-09-11T15:45:41, 22.062, 0.0, 0.0
2018-09-11T15:46:02, 22.062, 0.0, 0.0
2018-09-11T15:46:23, 22.125, 0.0, 0.0
2018-09-11T15:46:44, 22.125, 0.0, 0.0
2018-09-11T15:47:05, 22.187, 0.0, 0.0
2018-09-11T15:47:26, 22.375, 0.0, 0.0
2018-09-11T15:47:47, 22.312, 0.0, 0.0
2018-09-11T15:48:07, 22.5, 0.0, 0.0
2018-09-11T15:48:28, 22.625, 0.0, 0.0
2018-09-11T15:48:49, 22.625, 0.0, 0.84
2018-09-11T15:49:10, 22.562, 0.0, 0.0
2018-09-11T15:49:31, 22.562, 0.0, 1.68
2018-09-11T15:49:52, 22.562, 0.0, 0.28
2018-09-11T15:50:13, 22.5, 0.0, 0.84
2018-09-11T15:50:34, 22.437, 0.0, 0.56
2018-09-11T15:50:55, 22.375, 0.0, 1.12
2018-09-11T15:51:16, 23.937, 0.0, 0.56
2018-09-11T15:51:37, 26.0, 0.0, 0.28
2018-09-11T15:51:58, 25.625, 0.0, 0.0
2018-09-11T15:52:19, 25.75, 0.0, 0.0
2018-09-11T15:52:40, 25.562, 0.0, 0.56
2018-09-11T15:53:01, 25.125, 0.0, 0.28
2018-09-11T15:53:22, 24.75, 0.0, 0.0
2018-09-11T15:53:43, 24.375, 0.0, 0.28
2018-09-11T15:54:03, 24.0, 0.0, 0.28
2018-09-11T15:54:24, 23.437, 0.0, 0.56
2018-09-11T15:54:45, 23.187, 0.0, 0.28
2018-09-11T15:55:06, 21.812, 0.0, 0.56
2018-09-11T15:55:27, 20.375, 0.0, 1.12
2018-09-11T15:55:48, 19.562, 0.0, 0.28
2018-09-11T15:56:09, 19.125, 0.0, 0.0
2018-09-11T15:56:30, 18.937, 0.0, 1.68
2018-09-11T15:56:51, 18.812, 0.0, 1.68
2018-09-11T15:57:12, 18.75, 0.0, 0.56
2018-09-11T15:57:33, 18.75, 0.0, 0.0
2018-09-11T15:57:54, 18.687, 0.0, 0.0
2018-09-11T15:58:15, 18.562, 0.0, 0.0
2018-09-11T15:58:36, 18.5, 0.0, 0.84
2018-09-11T15:58:57, 18.437, 0.0, 0.0
2018-09-11T15:59:18, 18.312, 0.0, 0.0
2018-09-11T15:59:39, 18.312, 0.0, 0.0
2018-09-11T16:00:00, 18.25, 0.0, 0.0
2018-09-11T16:00:20, 18.187, 0.0, 0.0
2018-09-11T16:00:41, 18.187, 0.0, 0.56
2018-09-11T16:01:02, 18.187, 0.0, 0.0
2018-09-11T16:01:23, 18.25, 0.0, 0.0
2018-09-11T16:01:44, 19.125, 0.0, 2.51
2018-09-11T16:02:05, 19.812, 0.0, 0.84
2018-09-11T16:02:26, 21.0, 0.0, 0.56
2018-09-11T16:02:47, 20.812, 0.0, 1.4
2018-09-11T16:03:08, 19.562, 0.0, 0.0
2018-09-11T16:03:29, 19.0, 0.0, 0.0
2018-09-11T16:03:50, 18.75, 0.0, 0.0
2018-09-11T16:04:11, 18.562, 0.0, 0.0
2018-09-11T16:04:32, 18.437, 0.0, 0.0
2018-09-11T16:04:53, 18.312, 0.0, 0.0
2018-09-11T16:05:14, 18.25, 0.0, 0.0
2018-09-11T16:05:35, 18.187, 0.0, 0.0
2018-09-11T16:05:56, 18.187, 0.0, 0.0
2018-09-11T16:06:17, 18.187, 0.0, 0.0
2018-09-11T16:06:38, 18.187, 0.0, 0.0
2018-09-11T16:06:59, 18.187, 0.0, 0.0
2018-09-11T16:07:19, 18.187, 0.0, 0.0
2018-09-11T16:07:40, 18.125, 0.0, 0.0
2018-09-11T16:08:01, 18.125, 0.0, 0.0
2018-09-11T16:08:22, 18.062, 0.0, 0.0
2018-09-11T16:08:43, 18.062, 0.0, 0.0
2018-09-11T16:09:04, 18.062, 0.0, 0.0
2018-09-11T16:09:25, 18.062, 0.0, 0.0
2018-09-11T16:09:46, 18.062, 0.0, 0.0
2018-09-11T16:10:07, 18.0, 0.0, 0.0
2018-09-11T16:10:28, 17.937, 0.0, 0.0
2018-09-11T16:10:50, 17.875, 0.0, 0.0
2018-09-11T16:11:11, 17.812, 0.0, 0.0
2018-09-11T16:11:32, 17.812, 0.0, 0.0
2018-09-11T16:11:53, 17.812, 0.0, 0.0
2018-09-11T16:12:13, 17.812, 0.0, 0.0
2018-09-11T16:12:34, 17.812, 0.0, 0.0
2018-09-11T16:12:55, 17.812, 0.0, 0.0
2018-09-11T16:13:16, 17.75, 0.0, 0.0
2018-09-11T16:13:37, 17.75, 0.0, 0.0
2018-09-11T16:13:58, 17.687, 0.0, 0.0
2018-09-11T16:14:19, 17.687, 0.0, 0.0
2018-09-11T16:14:40, 17.625, 0.0, 0.0
2018-09-11T16:15:01, 17.625, 0.0, 0.0
2018-09-11T16:15:22, 17.625, 0.0, 0.0
2018-09-11T16:15:43, 17.562, 0.0, 0.0
2018-09-11T16:16:04, 17.562, 0.0, 0.0
2018-09-11T16:16:25, 17.562, 0.0, 0.0
2018-09-11T16:16:46, 17.562, 0.0, 0.0
2018-09-11T16:17:06, 17.5, 0.0, 0.0
2018-09-11T16:17:27, 17.5, 0.0, 0.0
2018-09-11T16:17:48, 17.437, 0.0, 0.0
2018-09-11T16:18:09, 17.5, 0.0, 0.0
2018-09-11T16:18:30, 17.5, 0.0, 0.0
2018-09-11T16:18:51, 17.562, 0.0, 0.0
2018-09-11T16:19:12, 17.562, 0.0, 0.0
2018-09-11T16:19:33, 17.5, 0.0, 0.0
2018-09-11T16:19:54, 17.437, 0.0, 0.0
2018-09-11T16:20:15, 17.437, 0.0, 0.0
2018-09-11T16:20:36, 17.437, 0.0, 0.0
2018-09-11T16:20:57, 17.5, 0.0, 0.0
2018-09-11T16:21:18, 17.5, 0.0, 0.0
2018-09-11T16:21:39, 17.562, 0.0, 0.0
2018-09-11T16:22:00, 17.562, 0.0, 0.0
2018-09-11T16:22:21, 17.562, 0.0, 0.0
2018-09-11T16:22:42, 17.625, 0.0, 0.0
2018-09-11T16:23:03, 17.625, 0.0, 0.0
2018-09-11T16:23:23, 17.687, 0.0, 0.0
2018-09-11T16:23:44, 17.625, 0.0, 0.0
2018-09-11T16:24:05, 17.625, 0.0, 0.0
2018-09-11T16:24:26, 17.625, 0.0, 0.0
2018-09-11T16:24:47, 17.562, 0.0, 0.0
2018-09-11T16:25:08, 17.562, 0.0, 0.0
2018-09-11T16:25:29, 17.562, 0.0, 0.0
2018-09-11T16:25:50, 17.562, 0.0, 0.0
2018-09-11T16:26:11, 17.562, 0.0, 0.0
2018-09-11T16:26:32, 17.562, 0.0, 0.0
2018-09-11T16:26:53, 17.5, 0.0, 0.0
2018-09-11T16:27:14, 17.5, 0.0, 0.0
