Pi weather station data from codename roady, initialised Tue Sep 11 17:00:24 2018
Format YYYY-MM-DDTHH:MM:SS, Temperature [degC], Wind speed [km/h], Rainfall [mm]
Temperature is instantaneous, wind speed is averaged since previous measurement,
rainfall is accumulated since previous measurement.

time,temperature_degC,wind_speed_km/h,rainfall_mm
2018-09-11T17:00:25, 20.875, 0.0, 0.0
2018-09-11T17:00:39, 20.875, 0.0, 0.0
2018-09-11T17:00:53, 20.937, 0.0, 0.0
2018-09-11T17:01:06, 21.0, 0.0, 0.0
2018-09-11T17:01:20, 21.0, 0.0, 0.0
2018-09-11T17:01:34, 21.0, 0.0, 0.0
2018-09-11T17:01:48, 21.062, 0.0, 0.0
2018-09-11T17:02:02, 21.062, 0.0, 0.0
2018-09-11T17:02:16, 21.062, 0.0, 0.0
2018-09-11T17:02:30, 21.062, 0.0, 0.0
2018-09-11T17:02:44, 21.062, 0.0, 0.0
2018-09-11T17:02:58, 21.062, 0.0, 0.0
2018-09-11T17:03:12, 21.062, 0.0, 0.0
2018-09-11T17:03:26, 21.125, 0.17, 0.0
2018-09-11T17:03:40, 21.25, 0.43, 0.0
2018-09-11T17:03:54, 21.125, 0.0, 0.28
2018-09-11T17:04:07, 20.562, 2.85, 0.0
2018-09-11T17:04:21, 19.875, 7.33, 0.0
2018-09-11T17:04:35, 19.5, 5.44, 0.0
2018-09-11T17:04:49, 19.25, 5.52, 0.0
2018-09-11T17:05:03, 19.062, 4.4, 0.0
2018-09-11T17:05:17, 18.812, 6.21, 0.0
2018-09-11T17:05:31, 18.687, 6.56, 0.0
2018-09-11T17:05:45, 18.687, 3.62, 0.0
2018-09-11T17:05:59, 18.625, 3.02, 0.0
2018-09-11T17:06:13, 18.625, 1.55, 0.0
2018-09-11T17:06:27, 18.625, 0.17, 0.28
2018-09-11T17:06:41, 18.687, 0.43, 0.0
2018-09-11T17:06:54, 18.687, 0.52, 0.0
2018-09-11T17:07:08, 18.75, 0.26, 0.0
2018-09-11T17:07:22, 18.812, 0.43, 0.0
2018-09-11T17:07:36, 18.875, 0.43, 0.0
2018-09-11T17:07:50, 19.875, 0.09, 0.28
2018-09-11T17:08:04, 19.687, 0.17, 0.0
2018-09-11T17:08:18, 19.437, 0.35, 0.0
2018-09-11T17:08:32, 19.375, 1.81, 0.56
2018-09-11T17:08:46, 19.687, 2.94, 0.0
2018-09-11T17:09:00, 23.562, 0.0, 0.0
2018-09-11T17:09:14, 26.062, 0.0, 0.0
2018-09-11T17:09:28, 24.5, 1.29, 0.0
2018-09-11T17:09:42, 23.125, 0.86, 0.0
2018-09-11T17:09:55, 22.062, 1.04, 0.0
2018-09-11T17:10:09, 21.437, 0.43, 0.0
2018-09-11T17:10:23, 20.875, 0.86, 0.0
2018-09-11T17:10:37, 20.312, 1.12, 0.0
2018-09-11T17:10:51, 20.0, 1.12, 0.0
2018-09-11T17:11:05, 19.562, 2.33, 0.0
2018-09-11T17:11:19, 19.375, 1.21, 0.0
2018-09-11T17:11:33, 19.187, 1.9, 0.0
2018-09-11T17:11:47, 19.062, 1.04, 0.0
2018-09-11T17:12:01, 18.875, 2.07, 0.0
2018-09-11T17:12:15, 18.75, 1.21, 0.0
2018-09-11T17:12:29, 18.75, 1.55, 0.0
2018-09-11T17:12:42, 18.687, 0.86, 0.0
2018-09-11T17:12:56, 18.687, 1.21, 0.0
2018-09-11T17:13:10, 18.687, 0.95, 0.0
2018-09-11T17:13:24, 18.687, 1.64, 0.0
2018-09-11T17:13:38, 18.687, 0.95, 0.0
2018-09-11T17:13:52, 18.625, 3.71, 0.0
2018-09-11T17:14:06, 18.625, 2.16, 0.0
2018-09-11T17:14:20, 18.625, 1.38, 0.0
2018-09-11T17:14:34, 18.687, 0.69, 0.0
2018-09-11T17:14:48, 18.75, 1.38, 0.0
2018-09-11T17:15:02, 18.75, 1.03, 0.0
2018-09-11T17:15:16, 18.812, 1.3, 0.0
2018-09-11T17:15:30, 18.812, 1.72, 0.0
2018-09-11T17:15:43, 18.75, 1.98, 0.0
2018-09-11T17:15:57, 18.75, 1.12, 0.0
2018-09-11T17:16:11, 18.75, 0.86, 0.0
2018-09-11T17:16:25, 18.75, 0.86, 0.0
2018-09-11T17:16:39, 18.75, 1.12, 0.0
2018-09-11T17:16:53, 18.75, 0.95, 0.0
2018-09-11T17:17:07, 18.687, 2.24, 0.0
2018-09-11T17:17:21, 18.687, 1.98, 0.0
2018-09-11T17:17:35, 18.687, 1.73, 0.0
2018-09-11T17:17:49, 18.75, 1.04, 0.0
2018-09-11T17:18:03, 18.75, 3.19, 0.0
2018-09-11T17:18:17, 18.75, 1.38, 0.0
2018-09-11T17:18:30, 18.75, 1.12, 0.0
2018-09-11T17:18:44, 18.75, 1.9, 0.0
2018-09-11T17:18:58, 18.75, 3.11, 0.0
2018-09-11T17:19:12, 18.687, 1.81, 0.0
2018-09-11T17:19:26, 18.75, 1.64, 0.0
2018-09-11T17:19:40, 18.75, 1.04, 0.0
2018-09-11T17:19:54, 18.75, 1.9, 0.0
2018-09-11T17:20:08, 18.75, 1.81, 0.0
2018-09-11T17:20:22, 18.812, 1.29, 0.0
2018-09-11T17:20:36, 18.812, 1.12, 0.0
2018-09-11T17:20:50, 18.75, 2.16, 0.0
2018-09-11T17:21:04, 18.75, 1.47, 0.0
2018-09-11T17:21:18, 18.75, 1.29, 0.0
2018-09-11T17:21:31, 18.687, 1.04, 0.0
2018-09-11T17:21:45, 18.75, 1.12, 0.0
2018-09-11T17:21:59, 18.687, 1.73, 0.0
2018-09-11T17:22:13, 18.687, 1.03, 0.0
2018-09-11T17:22:27, 18.75, 0.35, 0.0
2018-09-11T17:22:41, 18.75, 0.86, 0.0
2018-09-11T17:22:55, 18.75, 1.21, 0.0
2018-09-11T17:23:09, 18.75, 1.21, 0.0
2018-09-11T17:23:23, 18.687, 1.3, 0.0
2018-09-11T17:23:37, 18.687, 1.12, 0.0
2018-09-11T17:23:51, 18.687, 1.9, 0.0
2018-09-11T17:24:05, 18.625, 5.35, 0.0
2018-09-11T17:24:18, 18.562, 3.45, 0.0
2018-09-11T17:24:32, 18.5, 3.97, 0.0
2018-09-11T17:24:46, 18.5, 2.33, 0.0
2018-09-11T17:25:00, 18.562, 1.12, 0.0
2018-09-11T17:25:14, 18.562, 0.78, 0.0
2018-09-11T17:25:28, 18.562, 1.73, 0.0
2018-09-11T17:25:42, 18.562, 1.47, 0.0
2018-09-11T17:25:56, 18.562, 1.55, 0.0
2018-09-11T17:26:10, 18.562, 2.07, 0.0
2018-09-11T17:26:24, 18.625, 0.86, 0.0
2018-09-11T17:26:38, 18.625, 0.78, 0.0
2018-09-11T17:26:52, 18.625, 0.69, 0.0
2018-09-11T17:27:06, 18.625, 0.69, 0.0
2018-09-11T17:27:19, 18.625, 1.64, 0.0
2018-09-11T17:27:33, 18.687, 0.43, 0.0
2018-09-11T17:27:47, 18.625, 0.35, 0.0
2018-09-11T17:28:01, 18.625, 0.78, 0.0
2018-09-11T17:28:15, 18.625, 1.38, 0.0
2018-09-11T17:28:29, 18.625, 1.29, 0.0
2018-09-11T17:28:43, 18.562, 1.64, 0.0
2018-09-11T17:28:57, 18.562, 1.64, 0.0
